# time(ms),voltage(mV),na_current(nA
8.444999999998829665e+00,-6.571722993708179672e+01,-9.434371394407757528e-04
8.445999999998830887e+00,-6.571728201233352706e+01,-9.434115461997025567e-04
8.446999999998832109e+00,-6.571733391562685256e+01,-9.433860172114036857e-04
8.447999999998833331e+00,-6.571738564704399721e+01,-9.433605524432637363e-04
8.448999999998834554e+00,-6.571743720666715660e+01,-9.433351518626825923e-04
8.449999999998835776e+00,-6.571748859457851211e+01,-9.433098154370723890e-04
8.450999999998836998e+00,-6.571753981086024510e+01,-9.432845431338597901e-04
8.451999999998838220e+00,-6.571759085559450853e+01,-9.432593349204852285e-04
8.452999999998839442e+00,-6.571764172886345534e+01,-9.432341907644029065e-04
8.453999999998840664e+00,-6.571769243074922429e+01,-9.432091106330804707e-04
8.454999999998841886e+00,-6.571774296133393989e+01,-9.431840944939985779e-04
8.455999999998843109e+00,-6.571779332069972668e+01,-9.431591423146537144e-04
8.456999999998844331e+00,-6.571784350892866655e+01,-9.431342540625539672e-04
8.457999999998845553e+00,-6.571789352610286983e+01,-9.431094297052218436e-04
8.458999999998846775e+00,-6.571794337230438998e+01,-9.430846692101940536e-04
8.459999999998847997e+00,-6.571799304761530891e+01,-9.430599725450199925e-04
8.460999999998849219e+00,-6.571804255211768009e+01,-9.430353396772635840e-04
8.461999999998850441e+00,-6.571809188589352857e+01,-9.430107705745017620e-04
8.462999999998851663e+00,-6.571814104902489362e+01,-9.429862652043256637e-04
8.463999999998852886e+00,-6.571819004159378608e+01,-9.429618235343397619e-04
8.464999999998854108e+00,-6.571823886368221679e+01,-9.429374455321622986e-04
8.465999999998855330e+00,-6.571828751537216817e+01,-9.429131311654246348e-04
8.466999999998856552e+00,-6.571833599674562265e+01,-9.428888804017728767e-04
8.467999999998857774e+00,-6.571838430788453422e+01,-9.428646932088657071e-04
8.468999999998858996e+00,-6.571843244887087110e+01,-9.428405695543760120e-04
8.469999999998860218e+00,-6.571848041978657307e+01,-9.428165094059899045e-04
8.470999999998861441e+00,-6.571852822071356570e+01,-9.427925127314079178e-04
8.471999999998862663e+00,-6.571857585173376037e+01,-9.427685794983429448e-04
8.472999999998863885e+00,-6.571862331292906845e+01,-9.427447096745226237e-04
8.473999999998865107e+00,-6.571867060438138708e+01,-9.427209032276872777e-04
8.474999999998866329e+00,-6.571871772617258500e+01,-9.426971601255909996e-04
8.475999999998867551e+00,-6.571876467838453095e+01,-9.426734803360024102e-04
8.476999999998868773e+00,-6.571881146109907945e+01,-9.426498638267022737e-04
8.477999999998869995e+00,-6.571885807439807081e+01,-9.426263105654859907e-04
8.478999999998871218e+00,-6.571890451836334535e+01,-9.426028205201626231e-04
8.479999999998872440e+00,-6.571895079307670073e+01,-9.425793936585530504e-04
8.480999999998873662e+00,-6.571899689861994887e+01,-9.425560299484941982e-04
8.481999999998874884e+00,-6.571904283507488742e+01,-9.425327293578343764e-04
8.482999999998876106e+00,-6.571908860252328566e+01,-9.425094918544372905e-04
8.483999999998877328e+00,-6.571913420104691284e+01,-9.424863174061781385e-04
8.484999999998878550e+00,-6.571917963072752400e+01,-9.424632059809477311e-04
8.485999999998879773e+00,-6.571922489164685999e+01,-9.424401575466489133e-04
8.486999999998880995e+00,-6.571926998388664742e+01,-9.424171720711985167e-04
8.487999999998882217e+00,-6.571931490752861293e+01,-9.423942495225270336e-04
8.488999999998883439e+00,-6.571935966265444051e+01,-9.423713898685778583e-04
8.489999999998884661e+00,-6.571940424934582836e+01,-9.423485930773089136e-04
8.490999999998885883e+00,-6.571944866768446047e+01,-9.423258591166908072e-04
8.491999999998887105e+00,-6.571949291775199242e+01,-9.423031879547078080e-04
8.492999999998888327e+00,-6.571953699963007978e+01,-9.422805795593577373e-04
8.493999999998889550e+00,-6.571958091340034969e+01,-9.422580338986518604e-04
8.494999999998890772e+00,-6.571962465914444351e+01,-9.422355509406144533e-04
8.495999999998891994e+00,-6.571966823694395998e+01,-9.422131306532843201e-04
8.496999999998893216e+00,-6.571971164688051203e+01,-9.421907730047124081e-04
8.497999999998894438e+00,-6.571975488903568419e+01,-9.421684779629643011e-04
8.498999999998895660e+00,-6.571979796349104674e+01,-9.421462454961181598e-04
8.499999999998896882e+00,-6.571984087032817001e+01,-9.421240755722655891e-04
8.500999999998898105e+00,-6.571988360962859588e+01,-9.421019681595127222e-04
8.501999999998899327e+00,-6.571992618147386622e+01,-9.420799232259777266e-04
8.502999999998900549e+00,-6.571996858594549451e+01,-9.420579407397929733e-04
8.503999999998901771e+00,-6.572001082312500841e+01,-9.420360206691041688e-04
8.504999999998902993e+00,-6.572005289309389298e+01,-9.420141629820698130e-04
8.505999999998904215e+00,-6.572009479593363324e+01,-9.419923676468625008e-04
8.506999999998905437e+00,-6.572013653172570002e+01,-9.419706346316677288e-04
8.507999999998906659e+00,-6.572017810055154996e+01,-9.419489639046849799e-04
8.508999999998907882e+00,-6.572021950249262545e+01,-9.419273554341262055e-04
8.509999999998909104e+00,-6.572026073763036891e+01,-9.419058091882177765e-04
8.510999999998910326e+00,-6.572030180604618010e+01,-9.418843251351985326e-04
8.511999999998911548e+00,-6.572034270782148724e+01,-9.418629032433210825e-04
8.512999999998912770e+00,-6.572038344303767587e+01,-9.418415434808519128e-04
8.513999999998913992e+00,-6.572042401177611737e+01,-9.418202458160696532e-04
8.514999999998915214e+00,-6.572046441411818307e+01,-9.417990102172671364e-04
8.515999999998916437e+00,-6.572050465014523013e+01,-9.417778366527499887e-04
8.516999999998917659e+00,-6.572054471993860147e+01,-9.417567250908379312e-04
8.517999999998918881e+00,-6.572058462357962583e+01,-9.417356754998630446e-04
8.518999999998920103e+00,-6.572062436114960349e+01,-9.417146878481715043e-04
8.519999999998921325e+00,-6.572066393272984897e+01,-9.416937621041220627e-04
8.520999999998922547e+00,-6.572070333840164835e+01,-9.416728982360876750e-04
8.521999999998923769e+00,-6.572074257824627352e+01,-9.416520962124543068e-04
8.522999999998924991e+00,-6.572078165234498215e+01,-9.416313560016202839e-04
8.523999999998926214e+00,-6.572082056077903189e+01,-9.416106775719982431e-04
8.524999999998927436e+00,-6.572085930362963779e+01,-9.415900608920135069e-04
8.525999999998928658e+00,-6.572089788097804330e+01,-9.415695059301057088e-04
8.526999999998929880e+00,-6.572093629290544925e+01,-9.415490126547263004e-04
8.527999999998931102e+00,-6.572097453949304224e+01,-9.415285810343410446e-04
8.528999999998932324e+00,-6.572101262082200890e+01,-9.415082110374282812e-04
8.529999999998933546e+00,-6.572105053697352162e+01,-9.414879026324797940e-04
8.530999999998934769e+00,-6.572108828802873859e+01,-9.414676557880012446e-04
8.531999999998935991e+00,-6.572112587406878959e+01,-9.414474704725103293e-04
8.532999999998937213e+00,-6.572116329517481859e+01,-9.414273466545389473e-04
8.533999999998938435e+00,-6.572120055142792694e+01,-9.414072843026320084e-04
8.534999999998939657e+00,-6.572123764290921599e+01,-9.413872833853473244e-04
8.535999999998940879e+00,-6.572127456969977288e+01,-9.413673438712557174e-04
8.536999999998942101e+00,-6.572131133188068475e+01,-9.413474657289421042e-04
8.537999999998943323e+00,-6.572134792953299609e+01,-9.413276489270036530e-04
8.538999999998944546e+00,-6.572138436273776563e+01,-9.413078934340520605e-04
8.539999999998945768e+00,-6.572142063157602365e+01,-9.412881992187098652e-04
8.540999999998946990e+00,-6.572145673612878625e+01,-9.412685662496150015e-04
8.541999999998948212e+00,-6.572149267647706949e+01,-9.412489944954178719e-04
8.542999999998949434e+00,-6.572152845270186106e+01,-9.412294839247817811e-04
8.543999999998950656e+00,-6.572156406488414859e+01,-9.412100345063830441e-04
8.544999999998951878e+00,-6.572159951310489134e+01,-9.411906462089119621e-04
8.545999999998953101e+00,-6.572163479744503434e+01,-9.411713190010708710e-04
8.546999999998954323e+00,-6.572166991798553681e+01,-9.411520528515756592e-04
8.547999999998955545e+00,-6.572170487480730117e+01,-9.411328477291563098e-04
8.548999999998956767e+00,-6.572173966799125822e+01,-9.411137036025539731e-04
8.549999999998957989e+00,-6.572177429761829615e+01,-9.410946204405254119e-04
8.550999999998959211e+00,-6.572180876376930314e+01,-9.410755982118381227e-04
8.551999999998960433e+00,-6.572184306652515318e+01,-9.410566368852740218e-04
8.552999999998961655e+00,-6.572187720596669180e+01,-9.410377364296277107e-04
8.553999999998962878e+00,-6.572191118217477879e+01,-9.410188968137072349e-04
8.554999999998964100e+00,-6.572194499523023126e+01,-9.410001180063336506e-04
8.555999999998965322e+00,-6.572197864521388055e+01,-9.409813999763403736e-04
8.556999999998966544e+00,-6.572201213220651539e+01,-9.409627426925750229e-04
8.557999999998967766e+00,-6.572204545628892447e+01,-9.409441461238971438e-04
8.558999999998968988e+00,-6.572207861754188229e+01,-9.409256102391802675e-04
8.559999999998970210e+00,-6.572211161604616336e+01,-9.409071350073102856e-04
8.560999999998971433e+00,-6.572214445188249954e+01,-9.408887203971870753e-04
8.561999999998972655e+00,-6.572217712513163690e+01,-9.408703663777221154e-04
8.562999999998973877e+00,-6.572220963587427889e+01,-9.408520729178416293e-04
8.563999999998975099e+00,-6.572224198419114316e+01,-9.408338399864833333e-04
8.564999999998976321e+00,-6.572227417016291895e+01,-9.408156675525988213e-04
8.565999999998977543e+00,-6.572230619387029549e+01,-9.407975555851529146e-04
8.566999999998978765e+00,-6.572233805539391938e+01,-9.407795040531224690e-04
8.567999999998979987e+00,-6.572236975481445143e+01,-9.407615129254980014e-04
8.568999999998981210e+00,-6.572240129221252403e+01,-9.407435821712832559e-04
8.569999999998982432e+00,-6.572243266766876957e+01,-9.407257117594943364e-04
